From,To,Weight
1,2,0.03828117523207963
1,4,0.019500437784828267
1,5,0.026311358087059023
2,3,0.01514323226235347
2,6,0.16656672663068825
3,4,0.009887588011892792
3,7,0.05880139241697244
3,8,0.03836930455635491
4,5,0.005875354357309676
4,9,0.49877799391490846
5,6,0.012178947714559565
5,10,0.05878169067898731
6,7,0.19885064328183102
6,11,0.33199428969821715
7,8,0.012178947714559565
7,12,0.1663893510815308
8,9,0.005068359498739245
8,13,0.055495127527803056
9,10,0.01536738027658211
9,14,0.16664167041610425
10,11,0.055518234964274014
10,15,0.033331555650365316
11,12,0.09974465368656239
12,13,0.0999190655568989
13,14,0.015338928974623274
14,15,0.32598774286086846
1,8,0.06
